burn.season,emmean,SE,df,lower.CL,upper.CL
Fall,0.0024808483288512,0.3355523526897829,52,-0.6708542081270343,0.6758159047847367
Summer,0.15686864327718997,0.4056466520457544,52,-0.6571209150343933,0.9708582015887732
Winter,-0.25768941021501,0.34214267318871555,52,-0.9442489122444113,0.4288700918143913
