burn_season,cohen.h,env_type,remProb
Spring,0.25538312711077926,burn,0.16666666666666666
Spring,0.25538312711077926,scrub,0.08333333333333333
Summer,-0.2340938473532157,burn,0.8571428571428571
Summer,-0.2340938473532157,scrub,0.9285714285714286
Fall,0,burn,0.3181818181818182
Fall,0,scrub,0.3181818181818182
Winter,0.38082705924222693,burn,0.7272727272727273
Winter,0.38082705924222693,scrub,0.5454545454545454
